data_path, num_vehicle, carbon_heu1, reject_heu1, carbon_heu2, reject_heu2, carbon_heu3, reject_heu3, carbon_heu4, reject_heu4, carbon_heu5, reject_heu5, carbon_heu6, reject_heu6
h100c205.csv,10,1881.6805326161887,0, 2069.2504832076934,0, 1439.9344804006303,1, 2214.4513209046713,1, 1499.842919513125,1, 2073.8906950083774,0
h100c206.csv,3,1275.9464040468679,0, 483.6470104489511,12, 540.8920419760041,4, 860.1210143209361,1, 911.9589765860185,1, 1081.2737421045106,0
h100c206.csv,5,1737.302467382595,0, 799.9490448237846,8, 840.943182864271,4, 1079.5515905311254,4, 1349.7989588387288,0, 1264.6958524000347,1
h100c206.csv,10,1737.302467382595,0, 2062.1357506424147,1, 1485.4346853618717,2, 1852.4303978480255,2, 2532.0815848727743,0, 2124.0166720249827,0
h100c207.csv,3,1499.9246739431014,0, 868.525308313375,0, 670.6817356279603,1, 980.9931271930802,0, 581.5788352901376,2, 909.4827586550402,0
h100c207.csv,5,1582.4612281842376,0, 815.3617695336466,8, 943.7227239568285,1, 1542.7181190256765,0, 860.1697008146408,2, 1597.0838325611833,0
h100c207.csv,10,1582.4612281842376,0, 1666.7879986857085,5, 1419.5022752510488,0, 2591.3358760642095,0, 1470.9117980837354,1, 2418.594465788519,0
h100c208.csv,3,1302.2208482327223,0, 871.9363746093318,0, 591.9082593390174,0, 892.9664674638252,0, 609.3033738625287,0, 1022.3179818560793,0
h100c208.csv,5,1568.3292412890532,0, 816.1913770217213,0, 870.4991248635206,0, 1003.5785243486357,0, 887.8942393870319,0, 1060.6751833325197,0
h100c208.csv,10,1568.3292412890532,0, 2110.7737138890902,0, 1509.7596188494394,0, 2066.444610379705,0, 1511.5535729729834,0, 2093.1713954736815,0
h100r101.csv,3,507.7915790385771,89, 763.61928767153,74, 600.0888931873794,87, 479.9193727399206,89, 632.0223824725838,86, 479.40844817753634,89
