data_path,num_vehicle,fgp,fheu1,fheu2,fheu3,fheu4,fheu5,fheu6,iheu1,iheu2,iheu3,iheu4,iheu5,iheu6
100rc107.csv,10,0.054245213,0.1031468426850197,0.1526276424290278,0.1759694662853898,0.1639664931052228,0.2082237752246954,0.1540056099594454,47.40972046,64.45911629,69.17350831,66.91689145,73.94859792,64.77711889
100rc108.csv,3,0.049212489,0.2099433166573864,0.1043063298179585,0.1969229735359805,0.2583626220255423,0.3020287781704636,0.2364200808712445,76.55915427,52.81926891,75.00926982,80.95216382,83.70602653,79.18430245
100rc108.csv,5,0.052412484,0.1037995121672114,0.1264766727391562,0.1004388147526312,0.1201866925193892,0.2614100431273449,0.1193998545311529,49.50604006,58.55956442,47.81650478,56.39077589,79.95008781,56.10339368
100rc108.csv,10,0.045590666,0.091313167,0.1437412019633624,0.09000223,0.1349440099218056,0.1452098248369601,0.1322649930408359,50.07218903,68.28281313,49.34495991,66.21512458,68.60359436,65.53081462
100rc201.csv,3,0.1379339848455513,0.3155684553338683,0.348293673,0.3654259229388352,0.3491075138105557,0.3489925413922987,0.3601614269588707,56.29031276,60.39721779,62.25391353,60.48953993,60.47652357,61.70217727
100rc201.csv,5,0.104544549,0.2887725628696571,0.3636367947467688,0.3674068046892955,0.3427724423263281,0.3565257550209971,0.3223735530533823,63.79692433,71.25028299,71.54528765,69.500305,70.67685911,67.57037032
100rc201.csv,10,0.088549822,0.2066369811310665,0.3729626369653653,0.3811353722365355,0.3791781306221296,0.3569618815614658,0.3207586264913528,57.14715677,76.25772321,76.76683194,76.64690697,75.19347971,72.3936274
100rc202.csv,3,0.034575717,0.090253303,0.2773913188115547,0.2708258183581959,0.2771118859765565,0.2246845184969753,0.2086575494640343,61.69035784,87.53540033,87.23322702,87.52283133,84.61143756,83.42944336
100rc202.csv,5,0.033019086,0.086067023,0.241760965,0.1704526624834613,0.1998593892188461,0.1788971065247209,0.122468646,61.63561339,86.34225934,80.62858913,83.47884194,81.54297393,73.03874368
100rc202.csv,10,0.029650413,0.07712381,0.235480332,0.104823258,0.1451263582319809,0.1232906479794266,0.1452727819766752,61.5547866,87.40853943,71.71389858,79.56924329,75.95080108,79.58983591
100rc204.csv,3,0.035046017,0.070954113,0.095155225,0.062814385,0.077370622,0.061216151,0.095495779,50.60749117,63.16963533,44.20702089,54.70371591,42.75037549,63.30097836
100rc204.csv,5,0.033389707,0.067663001,0.1124321896230012,0.059900823,0.1186321178636033,0.058376721,0.1143256590438373,50.65293163,70.30235974,44.2583497,71.85441193,42.80304439,70.79421409
100rc204.csv,10,0.029972008,0.060632147,0.1452941752440202,0.053676536,0.1480424515670166,0.052310803,0.1428479741743454,50.56746278,79.37150034,44.16180547,79.75445007,42.70397958,79.01824746
100rc205.csv,3,0.1371309372766831,0.1884884660025096,0.3159247561257027,0.2864645900176201,0.2512858157193987,0.2441785582415371,0.2022530702955023,27.24704053,56.59379817,52.129882,45.42830168,43.83989394,32.19834088
100rc205.csv,5,0.085397143,0.1212926678809055,0.3196900010150789,0.2221936971256218,0.1153205535686688,0.192592777,0.285198892,29.59414238,73.28751516,61.56635217,25.94802886,55.65921829,70.05698635
100rc205.csv,10,0.077500655,0.1016009983350296,0.2692429538582574,0.1325695921304779,0.2060193033203928,0.1215221040435432,0.1573183395015093,23.72057717,71.2153451,41.53964429,62.38184778,36.22505492,50.73641423
100rc206.csv,3,0.1034118855846893,0.2348849544781007,0.3157069018049483,0.2946075530945201,0.3230999775739234,0.2934942867830369,0.259114854,55.97338884,67.24433803,64.89842691,67.99384316,64.76528156,60.09032911
100rc206.csv,5,0.081285152,0.1944978993996201,0.2788038579263737,0.2959121089065302,0.2138527836478004,0.2880187321795725,0.3034800412234902,58.20769672,70.84504045,72.53064354,61.99013611,71.77782453,73.21565146
100rc206.csv,10,0.073262015,0.1303626521569235,0.3199093601541016,0.2866877573096157,0.2504782146881014,0.284402091,0.2505107894703073,43.80137711,77.09913357,74.44536315,70.75114282,74.23998716,70.75494615
100rc208.csv,3,0.048607874,0.092934536,0.087271675,0.1344999552427779,0.082798367,0.072388365,0.099639477,47.69665198,44.30280661,63.86030482,41.29368058,32.85126203,51.21624934
100rc208.csv,5,0.054681824,0.088623891,0.1018284466211061,0.1000612293384903,0.098351042,0.069030727,0.1150502079818526,38.29900391,46.30005135,45.35163729,44.40137857,20.78625602,52.47133881
100rc208.csv,10,0.050492649,0.079414993,0.1508941950357419,0.1110045444510605,0.1402821186152516,0.061857753,0.1439862775508402,36.41924987,66.53771304,54.51298972,64.00635445,18.3729667,64.93231896
